#;Pokémon;;HP;Attack;Defense;Sp. Attack;Sp. Defense;Speed;Total
980;;Clodsire;130;75;60;45;100;20;430
981;;Farigiraf;120;90;70;110;70;60;520
982;;Dudunsparce;125;100;80;85;75;55;520
983;;Kingambit;100;135;120;60;85;50;550
984;;Great Tusk;115;131;131;53;53;87;570
985;;Scream Tail;115;65;99;65;115;111;570
986;;Brute Bonnet;111;127;99;79;99;55;570
987;;Flutter Mane;55;55;55;135;135;135;570
988;;Slither Wing;85;135;79;85;105;81;570
989;;Sandy Shocks;85;81;97;121;85;101;570
990;;Iron Treads;90;112;120;72;70;106;570
991;;Iron Bundle;56;80;114;124;60;136;570
992;;Iron Hands;154;140;108;50;68;50;570
993;;Iron Jugulis;94;80;86;122;80;108;570
994;;Iron Moth;80;70;60;140;110;110;570
995;;Iron Thorns;100;134;110;70;84;72;570
996;;Frigibax;65;75;45;35;45;55;320
997;;Arctibax;90;95;66;45;65;62;423
998;;Baxcalibur;115;145;92;75;86;87;600
999;;"Gimmighoul
Chest Form";45;30;70;75;70;10;300
999;;"Gimmighoul
Roaming Form";45;30;25;75;45;80;300
1000;;Gholdengo;87;60;95;133;91;84;550
1001;;Wo-Chien;85;85;100;95;135;70;570
1002;;Chien-Pao;80;120;80;90;65;135;570
1003;;Ting-Lu;155;110;125;55;80;45;570
1004;;Chi-Yu;55;80;80;135;120;100;570
1005;;Roaring Moon;105;139;71;55;101;119;590
1006;;Iron Valiant;74;130;90;120;60;116;590
1007;;Koraidon;100;135;115;85;100;135;670
1008;;Miraidon;100;85;100;135;115;135;670
1009;;Walking Wake;99;83;91;125;83;109;590
1010;;Iron Leaves;90;130;88;70;108;104;590
1011;;Dipplin;80;80;110;95;80;40;485
1012;;Poltchageist;40;45;45;74;54;50;308
1013;;Sinistcha;71;60;106;121;80;70;508
1014;;Okidogi;88;128;115;58;86;80;555
1015;;Munkidori;88;75;66;130;90;106;555
1016;;Fezandipiti;88;91;82;70;125;99;555
1017;;Ogerpon;80;120;84;60;96;110;550
1018;;Archaludon;90;105;130;125;65;85;600
1019;;Hydrapple;106;80;110;120;80;44;540
1020;;Gouging Fire;105;115;121;65;93;91;590
1021;;Raging Bolt;125;73;91;137;89;75;590
1022;;Iron Boulder;90;120;80;68;108;124;590
1023;;Iron Crown;90;72;100;122;108;98;590
1024;;"Terapagos
Normal Form";90;65;85;65;85;60;450
1024;;"Terapagos
Terastal Form";95;95;110;105;110;85;600
1024;;"Terapagos
Stellar Form";160;105;110;130;110;85;700
1025;;Pecharunt;88;88;160;88;88;88;600
